disease,symptom
房间隔缺损,隔膜孔道狭小
房间隔缺损,长骨骨骺端钙化不全
房间隔缺损,右心室流出道
房间隔缺损,腭异常
肺气肿,肺气压伤
肺气肿,痰黏稠或脓性可有腥臭味
肺气肿,气体弥散功能下降
肺气肿,老人剧烈咳嗽
肺气肿,黄白色黏痰有水果味
痱子,婴儿臀部红
痱子,热痱
痱子,深痱
痱子,白痱
痱子,脓痱
玫瑰糠疹,腹壁红斑
玫瑰糠疹,类似荨麻疹的皮肤潮红斑块
玫瑰糠疹,全身皮肤充血
玫瑰糠疹,剧痒
玫瑰糠疹,局部游走性红斑
肥大性龈炎,牙齿异常
肥大性龈炎,咽炎、舌炎、龈炎
肥大性龈炎,牙龈肿胀
肥大性龈炎,牙龈上发生黑线
肥大性龈炎,舌齿龈疼痛性粟粒至水疱
腹股沟直疝,腹股沟疼痛
腹股沟直疝,下腹痛
腹股沟直疝,腹股沟处或闭孔处肿胀
腹股沟直疝,腹部肿块
腹股沟直疝,阴囊水肿
腹膜后肿瘤,输精管变粗
腹膜后肿瘤,重度痛
腹膜后肿瘤,腰大肌阴影消失
腹膜后肿瘤,腹部肿块
腹膜后肿瘤,腹痛
附睾炎,性欲减退
附睾炎,阴囊坠胀痛
附睾炎,身痛
附睾炎,发热
附睾炎,输精管变粗
腹痛,腹腔积血
腹痛,左、右腰腹痛
腹痛,左上腹痛
腹痛,急性腹痛
腹痛,小腹冷痛
腹膜炎,腹痛
腹膜炎,发热
腹膜炎,恶心与呕吐
腹膜炎,下腹部反跳痛
腹膜炎,腹肌肌肉抽搐
化脓性骨髓炎,贫血
化脓性骨髓炎,毛细血管扩张症
化脓性骨髓炎,骨膜反应
化脓性骨髓炎,骨无菌性坏死
化脓性骨髓炎,胸骨下端压痛
胆汁性肝硬化,胆汁性肝硬化
胆汁性肝硬化,门静脉血流郁滞
胆汁性肝硬化,门体侧支循环
胆汁性肝硬化,肋骨椎体区触痛
胆汁性肝硬化,蛙形腹
颌面部骨巨细胞瘤,颌下腺导管口有咸味或脓性分泌物排出
颌面部骨巨细胞瘤,面部畸形
颌面部骨巨细胞瘤,颌骨关节痛
颌面部骨巨细胞瘤,脸部大小不一
颌面部骨巨细胞瘤,颌骨膨隆
过强反射性鼻炎,阵发性鼻塞
过强反射性鼻炎,鼻粘膜肿胀
过强反射性鼻炎,鼻粘膜苍白水肿
过强反射性鼻炎,鼻粘膜溃疡和萎缩
过强反射性鼻炎,鼻粘膜干燥发痒
过期产儿,低血糖症
过期产儿,生长滞缓
过期产儿,急性呼吸窘迫综合征
过期产儿,脱屑
过期产儿,紫绀和血缺氧
过敏性哮喘,剧烈运动后哮喘
过敏性哮喘,平卧呼吸困难
过敏性哮喘,气道高反应性
过敏性哮喘,吸气困难
过敏性哮喘,全身过敏反应
冠状动脉终止异常,心音异常
冠状动脉终止异常,心脏杂音
冠状动脉终止异常,胸痛
冠状动脉终止异常,呼吸异常
冠状动脉终止异常,昏迷
冠状动脉异位起源,心音异常
冠状动脉异位起源,心脏杂音
冠状动脉异位起源,胸痛
冠状动脉异位起源,消瘦
冠状动脉异位起源,呼吸异常
鼓室硬化症,听力减退
鼓室硬化症,传导性耳鸣
骨与关节梅毒,鼻骨破坏形成鞍鼻
骨与关节梅毒,关节间隙不规则和关节腔狭窄
骨与关节梅毒,小指不明原因痛
骨与关节梅毒,关节僵直
骨与关节梅毒,梅毒恐怖
骨样骨瘤,骨转移
骨样骨瘤,骨外团块
骨样骨瘤,关节疼痛
骨样骨瘤,身痛
骨样骨瘤,发热
骨雅司病,身痛
骨雅司病,丘疹
骨雅司病,发热
骨雅司病,局部灼热
骨雅司病,肉芽肿
骨血管瘤,血管增生
骨血管瘤,儿童骨缺损
骨血管瘤,关节肿胀
骨血管瘤,身痛
骨血管瘤,发热
骨纤维异常增殖症,头痛
骨纤维异常增殖症,纤维结构不良
骨纤维异常增殖症,肌纤维大小不等
骨外尤文氏瘤,儿童骨缺损
骨外尤文氏瘤,顽固性疼痛
骨外尤文氏瘤,身痛
骨外尤文氏瘤,发热
骨外软骨肉瘤,贫血
骨外软骨肉瘤,消瘦
骨外软骨肉瘤,身痛
骨外软骨肉瘤,发热
骨外软骨肉瘤,骨的偏心性肿胀
骨外骨肉瘤,儿童骨缺损
骨外骨肉瘤,侵蚀性骨破坏    
骨外骨肉瘤,骨的偏心性肿胀
骨外骨肉瘤,骨骼肿块
骨外骨肉瘤,身痛
骨盆直肠脓肿,腰大肌阴影消失
骨盆直肠脓肿,尾骶部疼痛
骨盆直肠脓肿,肠淤滞
骨盆直肠脓肿,直肠狭窄
骨盆直肠脓肿,肠管变形
骨囊肿,皮肤粘连
骨囊肿,骨囊肿
骨囊肿,关节疼痛
骨囊肿,身痛
骨囊肿,发热
骨母细胞瘤,身痛
骨母细胞瘤,发热
骨母细胞瘤,多根肋骨骨折
骨母细胞瘤,骨转移
骨母细胞瘤,儿童骨缺损
骨膜性软骨肉瘤,儿童骨缺损
骨膜性软骨肉瘤,侵蚀性骨破坏    
骨膜性软骨肉瘤,软组织肿胀
骨膜性软骨肉瘤,关节肿胀
骨膜性软骨肉瘤,身痛
骨放线菌病,身痛
骨放线菌病,发热
骨的恶性纤维组织细,关节疼痛
骨的恶性纤维组织细,关节肿胀
骨的恶性纤维组织细,身痛
骨的恶性纤维组织细,发热
骨的恶性纤维组织细,纤维结构不良
骨包囊虫病,发热
股骨髁骨折,股骨近侧端变宽
股骨髁骨折,髋外侧可见皮下瘀血斑
股骨髁骨折,老人髋部疼痛
股骨髁骨折,静脉血流滞缓
股骨髁骨折,压缩型骨折
股骨大粗隆结核,身痛
股骨大粗隆结核,发热
股骨大粗隆结核,持续低烧
股骨大粗隆结核,股骨近侧端变宽
钩端螺旋体病,头痛
钩端螺旋体病,发热
钩端螺旋体病,淋巴结肿大
钩端螺旋体病,黄疸
钩端螺旋体病,咯血
钩虫病,恶心与呕吐
钩虫病,咳嗽
钩虫病,腹泻
钩虫病,发热
钩虫病,食欲异常
佝偻病,漏斗型骨盆
佝偻病,骨产道异常
佝偻病,蹒跚步态
佝偻病,尿中磷酸盐排出增多
佝偻病,肾小管酸化功能障碍
肱骨远端全骺分离,肘痛
肱骨远端全骺分离,肘部剧烈疼痛，压痛肿胀
肱骨远端全骺分离,身痛
肱骨远端全骺分离,发热
更年期综合征,睡眠时间倒错
更年期综合征,绝经年龄过早
更年期综合征,白天嗜睡夜间失眠
更年期综合征,心境不良
更年期综合征,绝经期面红
跟骨骨髓炎,身痛
跟骨骨髓炎,发热
跟骨骨髓炎,骨髓损害
跟骨骨髓炎,骨质破坏
跟骨骨髓炎,骨痹
膈先天性缺损,桶状胸
膈先天性缺损,呼吸异常
膈先天性缺损,紫绀
膈肌膨出,桶状胸
膈肌膨出,胸骨隆凸
膈肌膨出,急性呼吸窘迫综合征
膈肌膨出,恶心与呕吐
膈肌膨出,呼吸异常
高原适应不全症,收缩压下降
高原适应不全症,肺通气一血流比例失调
高原适应不全症,水肿伴呼吸困难、紫绀
高原适应不全症,便血
高原适应不全症,恶心与呕吐
高血压肾病,慢性肾功能不全
高血压肾病,低蛋白血症
高血压肾病,伴高血压
高血压肾病,颈性高血压
高血压肾病,血压波动大
高渗性脱水,眼球内陷
高渗性脱水,少尿
高渗性脱水,混合型酸碱平衡紊乱
高渗性脱水,高钠血症
高渗性脱水,脱水
高泌乳素血症,溢乳
高泌乳素血症,垂体性闭经
高泌乳素血症,乳溢一高泌乳素血症
高泌乳素血症,闭经
高泌乳素血症,女性不孕
高钾血症,陶瑟征阳性
高钾血症,QRS波宽大畸形
高钾血症,右侧束支传导阻滞
高钾血症,急性肾小管坏死
高钾血症,心动过缓
高弓足,体型异常
高弓足,巨脚
高弓足,扁平足
高弓足,角弓反张
肛周湿疹,发热伴有皮疹
肛周湿疹,阴部皮肤潮红
肛周湿疹,鳞屑样痂皮
肛周湿疹,丹毒样外观
肛周湿疹,慢性湿疹样变
肛周脓肿,肛门疼痛
肛周脓肿,肛门剧痛
肛周脓肿,尾骶部疼痛
肛周脓肿,便血
肛周脓肿,便秘
肛门异位,肛门坠胀
肛门异位,肛周皮肤潮红
肛门异位,肛门外括约肌断裂
肛门异位,便秘
肛门异位,肛门括约肌松弛
肛门外伤,直肠与肛门狭窄
肛门外伤,便血
肛门外伤,便秘
肛门外伤,伤口结疤
肛门外伤,肛门外括约肌断裂
肛门失禁,肛门坠胀
肛门失禁,肛周皮肤潮红
肛门失禁,肛门外括约肌断裂
肛门失禁,产后大便失禁
肛门失禁,溃疡
肛门瘙痒症,肛门瘙痒
肛门瘙痒症,剧痒
肛门瘙痒症,瘙痒
肛门瘙痒症,丘疹
肛门瘙痒症,斑疹
肛门闭锁,直肠与肛门狭窄
肛门闭锁,肛门坠胀
肛门闭锁,肛门外括约肌断裂
肛门闭锁,肛周皮肤潮红
肛门闭锁,直肠狭窄
感染性心内膜炎,细菌的混合感染
感染性心内膜炎,炎性细胞浸润
感染性心内膜炎,心火
感染性心内膜炎,心包炎
感染性心内膜炎,心率过缓
感染性肋软骨炎,胸痛
感染性肋软骨炎,发热
感染性肋软骨炎,呼吸异常
感染性肋软骨炎,心脏刺痛
感染性肋软骨炎,第２肋软骨痛
肝炎双重感染,细菌的混合感染
肝炎双重感染,炎性细胞浸润
肝炎双重感染,球蛋白异常
肝炎双重感染,胃酸减少
肝炎双重感染,肝积水
肝炎后综合征,肝气郁结    
肝炎后综合征,面容呈灰色
肝炎后综合征,腹痛
肝炎后综合征,肝肿大
肝炎后综合征,下肢水肿
肝血管瘤,腹部肿块
肝血管瘤,血管增生
肝血管瘤,肝昏迷
肝血管瘤,肝肿大
肝纤维化,肝脏病变弥漫
肝纤维化,肝肿大
肝纤维化,食管下段静脉曲张
肝纤维化,脸色发黄
肝纤维化,慢性面容
肝囊肿,口酸伴有口苦烧心
肝囊肿,脸色发黑
肝囊肿,腹部肿块
肝囊肿,肝肿大
肝囊肿,腹痛
肝内胆管结石,肝内胆管结石
肝内胆管结石,肝外胆管结石
肝内胆管结石,灰白大便
肝内胆管结石,肝内钙化
肝内胆管结石,腹部肿块
肝-甲状腺综合征,肝大而硬
肝-甲状腺综合征,蜘蛛痣
肝-甲状腺综合征,甲状腺肿大
肝-甲状腺综合征,脾肿大
肝-甲状腺综合征,腹水
肝肺综合症,脉氧合不足
肝肺综合症,紫绀
肝肺综合症,杵状指（趾）
肝肺综合症,腹水
肝肺综合症,门脉高压
肝包虫囊肿,腹部肿块
肝包虫囊肿,腹痛
肝包虫囊肿,胃肠气胀
肝包虫囊肿,食管下段静脉曲张
干燥综合征,面部脱皮
干燥综合征,两眼干涩
干燥综合征,口干舌燥
干燥综合征,消瘦
干燥综合征,干燥斑
干燥性角结膜炎,睑结膜硬而扁平的乳头
干燥性角结膜炎,结膜干燥斑
干燥性角结膜炎,睑结膜的巨大乳头
干燥性角结膜炎,眼部烧伤感
干燥性角结膜炎,不断眨眼
干酪性鼻炎,晕厥
干酪性鼻炎,头痛
干酪性鼻炎,容易上火
干酪性鼻炎,白渣样鼻涕
干酪性鼻炎,鼻屎多
进行性骨干发育不全,身痛
进行性骨干发育不全,步态异常
结膜干燥症,两眼干涩
结膜干燥症,眼干涩酸胀，易疲劳
结膜干燥症,结膜异物
结膜干燥症,眼痛
结膜干燥症,红眼
格林-巴利综合征,神经根刺激
格林-巴利综合征,周身炎症反应
格林-巴利综合征,身痛
格林-巴利综合征,呼吸异常
格林-巴利综合征,运动功能障碍疾病
弓形体脑病,前额头痛
弓形体脑病,弓形体感染
弓形体脑病,近迫性昏迷
弓形体脑病,叹息样呼吸
弓形体脑病,脑脓肿
退变性关节病,发热伴关节肿痛
退变性关节病,爪状趾
退变性关节病,关节疼痛
退变性关节病,发热
退变性关节病,热痛
同型胱氨酸尿症,尿中有特殊鼠臭味
同型胱氨酸尿症,骨质疏松
同型胱氨酸尿症,脊柱和四肢畸形
同型胱氨酸尿症,感觉障碍
同型胱氨酸尿症,晕厥
喉阻塞,呼吸异常
喉阻塞,声音嘶哑
喉阻塞,吞咽困难
喉阻塞,咽痛
喉阻塞,咽部异物感
喉部创伤,咽喉干燥充血
喉部创伤,创伤
喉部创伤,咳嗽
喉部创伤,咽部异物感
喉部创伤,声音嘶哑
红外线伤,眼痛
红外线伤,角膜混浊
红外线伤,视力障碍
红外线伤,耀光感
恒定性外斜视,视力障碍
恒定性外斜视,眼球偏斜
恒定性外斜视,交叉注视
恒定性外斜视,斜眼抑制
恒定性外斜视,复视
黑色素斑-胃肠多发,肛乳头肥大
黑色素斑-胃肠多发,肠蠕动减少
黑色素斑-胃肠多发,色素性皮损
黑色素斑-胃肠多发,粘膜增生性炎症
黑色素斑-胃肠多发,肠淤滞
褐黄病性关节炎,发热伴关节肿痛
褐黄病性关节炎,关节疼痛
褐黄病性关节炎,身痛
褐黄病性关节炎,发热
褐黄病性关节炎,耳、鼻、软骨变成蓝色
颌下间隙感染,颌下腺导管口有咸味或脓性分泌物排出
颌下间隙感染,颌骨呈“扇形”骨质破坏
颌下间隙感染,颌突畸形
颌下间隙感染,蜂窝组织炎
颌下间隙感染,颌下腺疼痛、压痛
颌面部骨肉瘤,身痛
颌面部骨肉瘤,结节
颌面部骨肉瘤,同向性偏盲
颌面部骨肉瘤,瞳孔如锯齿或梅花状
颌面部骨肉瘤,颌下腺疼痛、压痛
颌面部放线菌病,溃疡
颌面部放线菌病,发热
颌面部放线菌病,面部畸型
颌面部放线菌病,颌下腺导管口有咸味或脓性分泌物排出
颌骨骨折,剧烈疼痛
颌骨骨折,颌下腺疼痛、压痛
颌骨骨折,颌下腺导管口有咸味或脓性分泌物排出
颌骨骨折,张嘴颌骨响
颌骨骨折,下巴关节疼
颌骨癌,结节
颌骨癌,牙齿异常
颌骨癌,吞咽困难
颌骨癌,颌骨膨隆
颌骨癌,牢脉
核黄素缺乏病,丘疹
核黄素缺乏病,色素异常
核黄素缺乏病,鳞屑
何杰金病,干咳
何杰金病,低热
何杰金病,恶心
何杰金病,腹痛
何杰金病,恶心与呕吐
喙突胸小肌综合征,手与手指胀满感
喙突胸小肌综合征,身痛
喙突胸小肌综合征,感觉障碍
喙突胸小肌综合征,胸骨隆凸
会阴裂伤,软产道裂伤
会阴裂伤,会阴部撕裂感
会阴裂伤,隐性产后出血
会阴裂伤,阴道出血
会阴裂伤,腹痛
蛔虫病,夜间磨牙
蛔虫病,嗜酸性粒细胞增多
蛔虫病,灰白大便
蛔虫病,蛔虫感染
蛔虫病,肠壁坏死
回盲瓣综合征,腹痛
回盲瓣综合征,便血
回盲瓣综合征,腹泻
回盲瓣综合征,回盲瓣功能不全
黄热病,长脉
黄热病,局部灼热
黄热病,脸红
黄热病,外斐氏试验阴性
黄热病,便秘
黄瘤,多尿
黄瘤,斑疹
黄瘤,丘疹
黄瘤,结节
黄瘤,脂质沉积症
寰枢椎旋转脱位固定,身痛
寰枢椎旋转脱位固定,寰枢脱位
寰枢椎旋转脱位固定,寰枢关节不稳定
寰枢椎旋转脱位固定,习惯性脱臼
寰枢关节脱位,习惯性脱臼
寰枢关节脱位,关节僵直
寰枢关节脱位,关节囊松弛
寰枢关节脱位,被迫体位
寰枢关节脱位,关节间隙不规则和关节腔狭窄
化脓性葡萄膜炎,恶心与呕吐
化脓性葡萄膜炎,昏迷
化脓性葡萄膜炎,晕厥
化脓性葡萄膜炎,头痛
化脓性葡萄膜炎,眼痛
滑膜肉瘤,身痛
滑膜肉瘤,发热
滑膜肉瘤,关节积液
滑膜肉瘤,滑膜增厚
滑膜肉瘤,滑膜黑染
呼吸衰竭,呼吸急促
呼吸衰竭,咬伤愈合的伤口出现痛痒或麻木
呼吸衰竭,虚脉
呼吸衰竭,绝汗
呼吸衰竭,热衰竭
呼吸道合胞病毒肺炎,肺部可闻及干湿啰音及哮鸣音
呼吸道合胞病毒肺炎,含铁血黄素沉着症
呼吸道合胞病毒肺炎,咳嗽
呼吸道合胞病毒肺炎,发热
呼吸道合胞病毒肺炎,心力衰竭
后天性视网膜劈裂,视力障碍
后天性视网膜劈裂,格子样变性
后天性视网膜劈裂,视网膜Roth斑
后天性视网膜劈裂,眼前冒紫烟
后天性视网膜劈裂,视网膜出血
后天性三尖瓣关闭不,卵圆孔闭合不全
后天性三尖瓣关闭不,收缩期反流性杂音
后天性三尖瓣关闭不,三尖瓣狭窄
后天性三尖瓣关闭不,三尖瓣下移
后天性三尖瓣关闭不,收缩期杂音 
后天性动静脉瘘,动作样壁
后天性动静脉瘘,腹痛
后天性动静脉瘘,腹水
后天性动静脉瘘,恶心与呕吐
后天性动静脉瘘,呼吸异常
后尿道瓣膜,尿道瓣
后尿道瓣膜,尿外渗
后尿道瓣膜,泌尿道狭窄
后尿道瓣膜,排尿困难及尿潴留
喉气囊肿,咳嗽
喉气囊肿,囊肿
喉气囊肿,咽部异物感
喉气囊肿,声音嘶哑
喉气囊肿,咽痛
颈椎过伸性损伤,颈椎分节异常
颈椎过伸性损伤,手指或手臂部刺痛及麻木感
颈椎过伸性损伤,屈性截瘫
颈椎过伸性损伤,颈肩痛
颈椎过伸性损伤,感觉障碍
特发性腹膜后纤维化,腹肌紧张
特发性腹膜后纤维化,腹肌强直
特发性腹膜后纤维化,腹部压痛
特发性腹膜后纤维化,肠鸣音消失
特发性腹膜后纤维化,强迫性体位    
鼾症,发作性睡眠
鼾症,打哈欠
鼾症,气道陷闭
鼾症,代谢性碱中毒
鼾症,头痛
先天性喉喘鸣,呼吸异常
先天性喉喘鸣,小儿维生素D缺乏
维生素C缺乏病,鼻翼扇动
维生素C缺乏病,手指甲周围起皮
维生素C缺乏病,牙龈出血
维生素C缺乏病,维生素C缺乏
维生素C缺乏病,维生素缺乏
海绵窦血栓,浅表或深部静脉反复血栓形成
海绵窦血栓,凝视麻痹
海绵窦血栓,高粘滞综合征
海绵窦血栓,血栓扩展
海绵窦血栓,微血栓形成
视网膜病变,昼盲
视网膜病变,毛细血管出血
视网膜病变,鼻尖或鼻翼出现带状疱疹
视网膜病变,视网膜动脉阻塞
视网膜病变,视物变形
发作性睡病,无动性缄默
发作性睡病,睡眠时间倒错
发作性睡病,梦游症
发作性睡病,睡眠呼吸暂停
发作性睡病,睡眠麻痹
急性呼吸衰竭,指甲特大有纵纹而手指细
急性呼吸衰竭,热衰竭
急性呼吸衰竭,呼吸性碱中毒
急性呼吸衰竭,肺通气一血流比例失调
急性呼吸衰竭,呼吸速率减慢且规则
慢性呼吸衰竭,热衰竭
慢性呼吸衰竭,指甲特大有纵纹而手指细
慢性呼吸衰竭,心排血量增多
慢性呼吸衰竭,呼吸性碱中毒
慢性呼吸衰竭,肺通气一血流比例失调
扁平疣,丘疹
花斑癣,瘙痒
花斑癣,斑疹
花斑癣,背部出现小水泡
花斑癣,粘膜有粘着性白斑
花斑癣,股沟及大腿内侧皮肤有色素沉积
呼吸道异物,猝死
呼吸道异物,呼吸异常
呼吸道异物,咳嗽
呼吸道异物,呼吸音减弱
呼吸道异物,呼吸道狭窄
喉癌,嗓音粗
喉癌,乳头状肿物
喉癌,失音
喉癌,声门短而窄
喉癌,喉头发紧
扁桃体周围脓肿,扁桃体发炎
扁桃体周围脓肿,咽喉炎
扁桃体周围脓肿,腭部可见小出血点
扁桃体周围脓肿,咽喉干燥充血
扁桃体周围脓肿,扁桃体充血
小儿急性喉炎,犬吠样咳嗽
小儿急性喉炎,潮汗
小儿急性喉炎,咳嗽
小儿急性喉炎,出汗异常
小儿急性喉炎,声音嘶哑
喉气管瘢痕性狭窄,凹陷瘢痕
喉气管瘢痕性狭窄,喉头痉挛
喉气管瘢痕性狭窄,喉头发紧
喉气管瘢痕性狭窄,气管移位
喉气管瘢痕性狭窄,肺门增宽
颌周蜂窝织炎,囊肿
颌周蜂窝织炎,皮肤疖痈
颌周蜂窝织炎,脓疱
颌周蜂窝织炎,蜂窝组织炎
颌周蜂窝织炎,颌突畸形
颌骨骨髓炎,颌骨呈“扇形”骨质破坏
颌骨骨髓炎,颌突畸形
颌骨骨髓炎,骨髓损害
颌骨骨髓炎,牙槽突型
颌骨骨髓炎,骨痹
坏死性龈口炎,牙龈上发生黑线
坏死性龈口炎,牙龈深红或暗红色
坏死性龈口炎,舌齿龈疼痛性粟粒至水疱
坏死性龈口炎,溃疡
坏死性龈口炎,口臭
踝关节扭伤,踝关节肿胀
踝关节扭伤,关节扭伤
踝关节扭伤,扭伤
踝关节扭伤,运动损伤
踝关节扭伤,关节疼痛
肠道蛔虫,恶心与呕吐
肠道蛔虫,贫血
肠道蛔虫,腹痛
肠道蛔虫,呕血与黑便
肠道蛔虫,便血
霍乱,代谢性酸中毒
霍乱,脱水
霍乱,急性肾衰竭
霍乱,水泻伴低血钾
霍乱,指纹皱瘪
胆道蛔虫病,指甲类似云母
胆道蛔虫病,小儿右上腹阵发性绞痛
胆道蛔虫病,指甲尖有缺痕
胆道蛔虫病,指甲出现条纹或斑点
胆道蛔虫病,突发性右上腹绞痛
红斑性肢痛症,血管搏动或波形的改变
红斑性肢痛症,毛细血管扩张症
红斑性肢痛症,皮肤温度升高
红斑性肢痛症,中度痛
红斑性肢痛症,广泛红斑浸润损害伴有脱屑
黑热病,肝功检查胆红素及转氨酶常增高
黑热病,脾肿大
黑热病,肝肿大
黑热病,发热
黑热病,淋巴结肿大
红斑狼疮,指端及指(趾)甲周红斑    
红斑狼疮,感染性赘生物
红斑狼疮,静脉血流滞缓
红斑狼疮,类似荨麻疹的皮肤潮红斑块
红斑狼疮,鼻子异常红色
呼吸性碱中毒,低氯性碱中毒
呼吸性碱中毒,叹息样呼吸
呼吸性碱中毒,呼吸性碱中毒
呼吸性碱中毒,呼吸异常
呼吸性碱中毒,感觉障碍
河豚毒素中毒,呼吸异常
河豚毒素中毒,感觉障碍
河豚毒素中毒,瘫痪
河豚毒素中毒,腹痛
河豚毒素中毒,恶心与呕吐
昏迷,瞳孔不对称
昏迷,痰饮
昏迷,觉醒状态丧失
昏迷,感染诱发昏迷
昏迷,空气栓塞
化学烧伤,烧伤创面苍白或焦黄炭化
化学烧伤,轻度烧伤
化学烧伤,水泡性烧伤
化学烧伤,酸烧伤
化学烧伤,化学性皮肤灼伤
踝部急性韧带损伤,关节韧带松弛或肌张力低
踝部急性韧带损伤,踝关节屈曲挛缩畸形
踝部急性韧带损伤,外踝前下方肿胀和疼痛    
踝部急性韧带损伤,韧带拉伤
踝部急性韧带损伤,韧带扭伤
踝关节脱位,关节疼痛
踝关节脱位,内踝下区域疼痛肿胀
踝关节脱位,踝关节屈曲挛缩畸形
踝关节脱位,被迫体位
踝关节脱位,关节囊松弛
踝关节骨折,踝关节肿胀
踝关节骨折,踝关节屈曲挛缩畸形
踝关节骨折,内踝下区域疼痛肿胀
踝关节骨折,关节疼痛
盘尾丝虫病,瘙痒
盘尾丝虫病,溃疡
盘尾丝虫病,结节
盘尾丝虫病,腋下淋巴肿大
盘尾丝虫病,视力障碍
内脏利什曼病,牵涉痛
内脏利什曼病,内脏痛
内脏利什曼病,脾肿大
内脏利什曼病,肝肿大
内脏利什曼病,发热
汉坦病毒肺综合征,肺积水
汉坦病毒肺综合征,腹痛
汉坦病毒肺综合征,肺含水量增加
汉坦病毒肺综合征,呼吸衰竭
汉坦病毒肺综合征,啰音
化脓性门静脉炎,肝淤血
化脓性门静脉炎,胸腹壁浅在条索伴疼痛或牵扯痛
化脓性门静脉炎,反复呕血
化脓性门静脉炎,浅静脉有一发红低热的索状物
化脓性门静脉炎,静脉萎陷
化脓性盆腔血栓静脉,长期的盆腔疼痛
化脓性盆腔血栓静脉,股三角区压痛
化脓性盆腔血栓静脉,局部静脉硬索状
化脓性盆腔血栓静脉,盆腔沉重感
化脓性盆腔血栓静脉,骨盆痛
黄体囊肿,月经量多
黄体囊肿,阴道出血
黄体囊肿,滤泡增大
黄体囊肿,卵巢性闭经
黄体囊肿,一侧性下腹剧烈疼痛
环状外阴炎,阴部溃疡
环状外阴炎,婴幼儿外阴疼痛
环状外阴炎,微炎症状态
环状外阴炎,斑疹
黏多糖贮积症Ⅱ型,痴呆
黏多糖贮积症Ⅱ型,脾肿大
黏多糖贮积症Ⅱ型,肝肿大
黏多糖贮积症Ⅱ型,腹泻
黏多糖贮积症Ⅱ型,听力减退
滑膜炎、痤疮、脓疱,关节疼痛
滑膜炎、痤疮、脓疱,腹痛
滑膜炎、痤疮、脓疱,疲劳
滑膜炎、痤疮、脓疱,发热
滑膜炎、痤疮、脓疱,胸痛
褐黄病,下背部僵硬和疼痛
褐黄病,脊柱和四肢畸形
褐黄病,关节疼痛
混合性结缔组织病,肢端接连出现苍白、发组和潮红反应
混合性结缔组织病,关节疼痛
混合性结缔组织病,恶心与呕吐
混合性结缔组织病,腹泻
混合性结缔组织病,肌性肌无力
回归热型结节性非化,不规则热
回归热型结节性非化,化脓结痂
回归热型结节性非化,关节疼痛
回归热型结节性非化,脾肿大
回归热型结节性非化,恶心与呕吐
黄色瘤,穿透性皮肤变性
黄色瘤,表皮发生钙化
黄色瘤,皮损皮黄到橙色
黄色瘤,结节
黄色瘤,丘疹
横位难产,流产
横位难产,头盆不称
横位难产,枕横位入盆
横位难产,阵发性子宫收缩
横位难产,发育性骨盆异常
汗孔角化病,瘙痒
汗孔角化病,鳞屑
汗孔角化病,斑疹
汗孔角化病,腋窝多汗
汗孔角化病,掌趾皮肤黄色角化物
分泌性中耳炎,数脉
分泌性中耳炎,实火
分泌性中耳炎,革脉
分泌性中耳炎,发炎
分泌性中耳炎,良性反应性改变
二水焦磷酸钙结晶沉,消瘦
二水焦磷酸钙结晶沉,钙沉积
二水焦磷酸钙结晶沉,关节间隙不规则和关节腔狭窄
二水焦磷酸钙结晶沉,皮肤钙化
二水焦磷酸钙结晶沉,伏脉
单发性骨软骨瘤,身痛
单发性骨软骨瘤,发热
单发性骨软骨瘤,儿童骨缺损
单发性骨软骨瘤,指甲异常
单发性骨软骨瘤,骨的偏心性肿胀
肝性血卟啉病综合征,腹痛
肝性血卟啉病综合征,便秘
肝性血卟啉病综合征,恶心与呕吐
肝性血卟啉病综合征,尿中有较多尿卟啉
腹型癫痫综合征,阵挛-强直型
腹型癫痫综合征,模仿性自动症
腹型癫痫综合征,自主神经危象
腹型癫痫综合征,易变性痉挛
腹型癫痫综合征,泪液、唾液及汗液分泌减少或消失
进行性多灶性白质脑,感觉障碍
进行性多灶性白质脑,瘫痪
进行性多灶性白质脑,共济失调
进行性多灶性白质脑,视力障碍
进行性多灶性白质脑,腹壁反射减弱或消失
疥疮,日轻夜重的瘙痒
疥疮,手上有小水泡
疥疮,剧痒
疥疮,疥疮恐惧
疥疮,疥疮结节
结节性脂膜炎,非感染性发热
结节性脂膜炎,持续性发热
结节性脂膜炎,局部灼热
结节性脂膜炎,脂肪痢
结节性脂膜炎,长脉
结节性硬化病,叶状脱色斑
结节性硬化病,癫痫和癫痫样发作
结节性硬化病,丘疹
结核性中耳乳突炎,持续低烧
结核性中耳乳突炎,耳痛
结核性中耳乳突炎,耳鸣
结核性中耳乳突炎,听力减退
结核性中耳乳突炎,凝视麻痹
结核性苔藓,脓苔
结核性苔藓,毛囊角栓
结核性苔藓,假结核结节
结核性苔藓,持续低烧
结核性苔藓,鳞屑
结核性膀胱自发破裂,腹痛
结核性膀胱自发破裂,血尿
结核性膀胱自发破裂,持续低烧
结核性膀胱自发破裂,突发性疼痛
结核性膀胱自发破裂,低热消疲 
结核性膀胱挛缩,低热消疲 
结核性膀胱挛缩,持续低烧
结核性膀胱挛缩,血尿
结核性膀胱挛缩,尿失禁与遗尿
结核性膀胱挛缩,尿频伴尿急和尿痛
结肠憩室病,结肠膨胀
结肠憩室病,肠管变形
结肠憩室病,肠淤滞
结肠憩室病,消化道憩室
结肠憩室病,腹痛
